Team10 : Team13 , 6 : 0
Team16 : Team2 , 1 : 0
Team1 : Team12 , 1 : 0
Team15 : Team7 , 8 : 0
Team13 : Team2 , 3 : 1
Team16 : Team4 , 3 : 2
Team4 : Team11 , 8 : 6
Team8 : Team2 , 5 : 8
Team6 : Team16 , 7 : 10
Team17 : Team7 , 8 : 7
Team6 : Team20 , 0 : 10
Team14 : Team5 , 5 : 10
Team8 : Team8 , 9 : 5
Team20 : Team19 , 8 : 5
Team11 : Team10 , 3 : 7
Team4 : Team5 , 9 : 7
Team12 : Team5 , 8 : 10
Team9 : Team5 , 2 : 10
Team16 : Team10 , 1 : 6
Team20 : Team1 , 1 : 5
Team17 : Team10 , 0 : 4
Team18 : Team5 , 1 : 0
Team9 : Team6 , 6 : 7
Team3 : Team18 , 4 : 10
Team3 : Team13 , 5 : 2
Team1 : Team2 , 7 : 5
Team16 : Team5 , 1 : 4
Team1 : Team4 , 7 : 7
Team8 : Team20 , 6 : 10
Team17 : Team15 , 3 : 10
Team1 : Team7 , 5 : 10
Team13 : Team10 , 6 : 9
Team10 : Team20 , 3 : 3
Team15 : Team4 , 5 : 7
Team9 : Team11 , 7 : 7
Team6 : Team10 , 0 : 2
Team13 : Team19 , 7 : 6
Team5 : Team11 , 0 : 5
Team18 : Team13 , 5 : 5
Team9 : Team14 , 0 : 6
Team13 : Team7 , 0 : 3
Team8 : Team7 , 8 : 6
Team1 : Team12 , 7 : 3
Team19 : Team18 , 10 : 4
Team8 : Team6 , 10 : 4
Team16 : Team8 , 1 : 10
Team6 : Team8 , 4 : 6
Team14 : Team17 , 7 : 0
Team12 : Team3 , 7 : 6
Team16 : Team18 , 8 : 0
Team15 : Team19 , 4 : 6
Team4 : Team20 , 8 : 1
Team10 : Team15 , 6 : 4
Team3 : Team17 , 7 : 2
Team10 : Team20 , 4 : 9
Team19 : Team11 , 10 : 0
Team5 : Team5 , 3 : 8
Team15 : Team2 , 10 : 10
Team4 : Team5 , 8 : 5
Team9 : Team13 , 7 : 6
Team10 : Team20 , 9 : 1
Team7 : Team17 , 0 : 8
Team12 : Team20 , 2 : 0
Team7 : Team8 , 9 : 0
Team2 : Team5 , 2 : 7
Team10 : Team7 , 4 : 6
Team15 : Team11 , 4 : 3
Team9 : Team4 , 8 : 5
Team19 : Team16 , 9 : 8
Team12 : Team10 , 5 : 0
Team9 : Team7 , 6 : 8
Team9 : Team2 , 9 : 9
Team12 : Team17 , 6 : 4
Team4 : Team2 , 0 : 3
Team7 : Team7 , 7 : 3
Team10 : Team20 , 10 : 3
Team8 : Team19 , 4 : 9
Team14 : Team20 , 1 : 0
Team3 : Team17 , 5 : 1
Team14 : Team4 , 1 : 1
